store,websites,attribute_set,type,sku,category_ids,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,weight,price,cost,description,short_description,meta_keyword,custom_layout_update,news_from_date,status,tax_class_id,visibility,enable_googlecheckout,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,manufacturer
admin,base,Default,simple,01001012,14,0,Clear Plastic Cup - 12 oz,Clear Plastic Cup - 12 oz,Clear Plastic Cup - 12 oz,/01001012.jpg,/01001012.jpg,/01001012.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup - 12 oz,Clear Plastic Cup - 12 oz,Clear Plastic Cup - 12 oz,Use config,2,$90.00 ,,"These Clear Plastic Cups - 12 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.  Quantity: 1,000","These Clear Plastic Cups - 12 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.      Quantity: 1,000",,,,Enabled,Taxable Goods,"Catalog, Search",Yes,0,0,1,0,0,1,1,1,0,1,0,,,1,0,0,1,,0,simple,,,
admin,base,Default,simple,01001016,14,0,Clear Plastic Cup - 16 oz,Clear Plastic Cup - 16 oz,Clear Plastic Cup - 16 oz,/01001016.jpg,/01001016.jpg,/01001016.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup - 16 oz,Clear Plastic Cup - 16 oz,Clear Plastic Cup - 16 oz,Use config,2,$110.00 ,,"These Clear Plastic Cups - 16 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.        Quantity: 1,000","These Clear Plastic Cups - 16 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.        Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,01001020,14,0,Clear Plastic Cup - 20 oz,Clear Plastic Cup - 20 oz,Clear Plastic Cup - 20 oz,/01001020.jpg,/01001020.jpg,/01001020.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup - 20 oz,Clear Plastic Cup - 20 oz,Clear Plastic Cup - 20 oz,Use config,2,$140.00 ,,"These Clear Plastic Cups - 20 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.  Quantity: 1,000","These Clear Plastic Cups - 20 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.          Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,01001024,14,0,Clear Plastic Cup - 24 oz,Clear Plastic Cup - 24 oz,Clear Plastic Cup - 24 oz,/01001024.jpg,/01001024.jpg,/01001024.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup - 24 oz,Clear Plastic Cup - 24 oz,Clear Plastic Cup - 24 oz,Use config,2,$90.00 ,,"These Clear Plastic Cups - 24 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.        Quantity: 600 ","These Clear Plastic Cups - 24 oz. are best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things. Lid sold seperately.              Quantity: 600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02001012-LID,15,0,Clear plastic Cup Flat Lid - 12 oz,Clear plastic Cup Flat Lid - 12 oz,Clear plastic Cup Flat Lid - 12 oz,/02001012-LID.jpg,/02001012-LID.jpg,/02001012-LID.jpg,,,," , No layout updates",Block after Info Column,Clear plastic Cup Flat Lid - 12 oz,Clear plastic Cup Flat Lid - 12 oz,Clear plastic Cup Flat Lid - 12 oz,Use config,2,$42.00 ,,"These Clear Plastic Cup Flat Lids - 12 oz. are the perfect companion for the Clear Plastic Cups - 12 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.   Quantity: 1,000","These Clear Plastic Cup Flat Lids - 12 oz. are the perfect companion for the Clear Plastic Cups - 12 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.    Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02001016-LID,15,0,Clear Plastic Cup Flat Lid - 16 oz,Clear Plastic Cup Flat Lid - 16 oz,Clear Plastic Cup Flat Lid - 16 oz,/02001016-LID.jpg,/02001016-LID.jpg,/02001016-LID.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup Flat Lid - 16 oz,Clear Plastic Cup Flat Lid - 16 oz,Clear Plastic Cup Flat Lid - 16 oz,Use config,2,$42.00 ,,"These Clear Plastic Cup Flat Lids - 16 oz. are the perfect companion for the Clear Plastic Cups - 16 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.               Quantity: 1,000","These Clear Plastic Cup Flat Lids - 16 oz. are the perfect companion for the Clear Plastic Cups - 16 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.                   Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02001020-LID,15,0,Clear Plastic Cup Flat Lid - 20 oz,Clear Plastic Cup Flat Lid - 20 oz,Clear Plastic Cup Flat Lid - 20 oz,/02001020-LID.jpg,/02001020-LID.jpg,/02001020-LID.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup Flat Lid - 20 oz,Clear Plastic Cup Flat Lid - 20 oz,Clear Plastic Cup Flat Lid - 20 oz,Use config,2,$42.00 ,,"These Clear Plastic Cup Flat Lids - 20 oz. are the perfect companion for the Clear Plastic Cups - 20 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.            Quantity: 1,000","These Clear Plastic Cup Flat Lids - 20 oz. are the perfect companion for the Clear Plastic Cups - 20 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.            Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02001024-LID,15,0,Clear Plastic Cup Flat Lid - 24 oz ,Clear Plastic Cup Flat Lid - 24 oz ,Clear Plastic Cup Flat Lid - 24 oz ,/02001024-LID.jpg,/02001024-LID.jpg,/02001024-LID.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup Flat Lid - 24 oz ,Clear Plastic Cup Flat Lid - 24 oz ,Clear Plastic Cup Flat Lid - 24 oz ,Use config,2,$42.00 ,,"These Clear Plastic Cup Flat Lids - 24 oz. are the perfect companion for the Clear Plastic Cups - 24 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.                  Quantity: 1,000","These Clear Plastic Cup Flat Lids - 24 oz. are the perfect companion for the Clear Plastic Cups - 24 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.      Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02002012-LID,15,0,Clear Plastic Cup Dome Lid - 12 oz,Clear Plastic Cup Dome Lid - 12 oz,Clear Plastic Cup Dome Lid - 12 oz,/02002012-LID.jpg,/02002012-LID.jpg,/02002012-LID.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup Dome Lid - 12 oz,Clear Plastic Cup Dome Lid - 12 oz,Clear Plastic Cup Dome Lid - 12 oz,Use config,2,$53.00 ,,"These Clear Plastic Cup Dome Lids - 12 oz. are the perfect companion for the Clear Plastic Cups - 12 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.        Quantity: 1,000","These Clear Plastic Cup Dome Lids - 12 oz. are the perfect companion for the Clear Plastic Cups - 12 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.            Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,02002016-LID,15,0,Clear Plastic Cup Dome Lid - 16 oz,Clear Plastic Cup Dome Lid - 16 oz,Clear Plastic Cup Dome Lid - 16 oz,/02002016-LID.jpg,/02002016-LID.jpg,/02002016-LID.jpg,,,," , No layout updates",Block after Info Column,Clear Plastic Cup Dome Lid - 16 oz,Clear Plastic Cup Dome Lid - 16 oz,Clear Plastic Cup Dome Lid - 16 oz,Use config,2,$53.00 ,,"These Clear Plastic Cup Dome Lid - 16 oz. are the perfect companion for the Clear Plastic Cups - 16 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.Quantity: 1,000","These Clear Plastic Cup Dome Lid - 16 oz. are the perfect companion for the Clear Plastic Cups - 16 oz. Best used for shakes, smoothies, fruit juices, iced teas, ice blended coffees, and many other things.Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
